#,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG
320,,296.294617,-14.567719,18.624,,17.757,,17.118,,C  ,0.2427105829789865
321,,296.326508,-14.641376,16.649,,15.697,,15.114,,C  ,0.18710414346025223
322,,296.263336,-14.708953,17.071,,16.053,,15.567,,C  ,0.09852781833065015
323,,296.264954,-14.715384,17.411,,16.435,,16.041,,C  ,0.09309702418443806
324,,296.31192,-14.728691,17.538,,16.72,,15.967,,C  ,0.10971244615354639
325,,296.318024,-14.739033,17.173,,16.378,,15.97,,C  ,0.10803526435841825
326,,296.283783,-14.741738,18.103,,17.246,,16.869,,C  ,0.08052611820397808
327,,296.339813,-14.745103,18.044,,16.882,,16.328,,C  ,0.12352619340850045
328,,296.276062,-14.751641,17.531,,16.642,,16.026,,C  ,0.0680044754777258
329,,296.252136,-14.757003,17.914,,16.978,,16.427,,C  ,0.0498512124727128
330,,296.248871,-14.764977,17.11,,15.994,,15.228,,C  ,0.041261251677567896
331,,296.330048,-14.767764,17.105,,16.08,,15.383,,C  ,0.1056372052829479
332,,296.261536,-14.769683,17.345,,16.483,,16.072,,C  ,0.044918676126945487
333,,296.301117,-14.779015,17.097,,16.157,,15.672,,C  ,0.07463830594268664
334,,296.307007,-14.784284,16.947,,16.062,,15.609,,C  ,0.07894524080017111
335,,296.356781,-14.748176,17.254,,16.329,,15.885,,C  ,0.13760461473729127
336,,296.479218,-14.974156,16.882,,15.943,,15.387,,C  ,0.30308584876234784
337,,296.470612,-14.886045,17.665,,16.743,,16.467,,C  ,0.2549770090988584
338,,296.251434,-14.798083,17.625,,16.616,,16.058,,C  ,0.02173207134628373
339,,296.297028,-14.802626,16.821,,15.758,,14.954,,C  ,0.06703481722209079
340,,296.256256,-14.807403,17.424,,16.327,,15.554,,C  ,0.026874613020459587
341,,296.244385,-14.810474,16.872,,15.96,,15.476,,C  ,0.016865308802394244
342,,296.244141,-14.813117,17.32,,16.187,,15.349,,C  ,0.0181934518439979
343,,296.259552,-14.815343,17.428,,16.335,,15.717,,C  ,0.032561812495591605
344,,296.259796,-14.82215,17.409,,16.47,,16.006,,C  ,0.03615566367802725
345,,296.264984,-14.824442,18.374,,17.308,,17.061,,C  ,0.041742595031940576
346,,296.257324,-14.837327,18.011,,17.107,,16.687,,C  ,0.044922406714223366
347,,296.257874,-14.842669,17.395,,16.265,,15.595,,C  ,0.049576989390239586
348,,296.244781,-14.845008,17.719,,16.678,,16.005,,C  ,0.045789302298671966
349,,296.262543,-14.847853,17.049,,16.052,,15.442,,C  ,0.056497047161763236
350,,296.337067,-14.850516,16.924,,16.08,,15.693,,C  ,0.11768293931149988
351,,296.275482,-14.853798,17.352,,16.271,,15.605,,C  ,0.06918049369583386
352,,296.278717,-14.858888,16.683,,15.688,,15.117,,C  ,0.07514815774851415
353,,296.261169,-14.861171,18.091,,17.198,,16.647,,C  ,0.06717049621670725
354,,296.281311,-14.863727,18.471,,17.403,,17.179,,C  ,0.08052260533539617
355,,296.309265,-14.868592,17.326,,16.568,,16.129,,C  ,0.10373762243754324
356,,296.289734,-14.876258,17.404,,16.537,,15.991,,C  ,0.09555898963467048
357,,296.262299,-14.882443,16.354,,15.396,,14.905,,C  ,0.08699139572393312
358,,296.294189,-14.884681,16.906,,15.826,,15.156,,C  ,0.1049335687089694
359,,296.266968,-14.910404,17.84,,16.579,,15.701,,C  ,0.11484648788709277
360,,296.286987,-14.962574,17.446,,16.297,,15.629,,C  ,0.1706974381325017
361,,296.311035,-14.973057,17.364,,16.349,,15.704,,C  ,0.18957894132523806
362,,296.334747,-14.99367,17.319,,16.239,,15.529,,C  ,0.21871427481761402
363,,296.325409,-14.997616,17.49,,16.614,,16.124,,C  ,0.21793969853377557
364,,296.250244,-15.015092,18.436,,17.14,,15.842,,C  ,0.21437996552849675
365,,296.216919,-14.990644,17.631,,16.691,,16.218,,C  ,0.1894261999750826
366,,296.219086,-14.802538,17.309,,16.477,,15.994,,C  ,0.010948461992458275
367,,296.16803,-14.836925,18.081,,16.862,,15.934,,C  ,0.07129653515426881
368,,296.22171,-14.839417,17.929,,17,,16.501,,C  ,0.03864660540074264
369,,296.204712,-14.849141,17.306,,16.262,,15.565,,C  ,0.05378641822060943
370,,296.187256,-14.854028,18.166,,17.224,,16.937,,C  ,0.06759001183608666
371,,296.227081,-14.876891,17.543,,16.457,,15.858,,C  ,0.07527761554406627
372,,296.226807,-14.881382,17.365,,16.369,,15.908,,C  ,0.07977592489592442
373,,295.976105,-14.796489,18.25,,17.411,,17.052,,C  ,0.25394785643119727
374,,296.003693,-14.974893,18.392,,17.56,,17.21,,C  ,0.2849930981234616
375,10032.0,296.22696,-14.80191,14.48,,13.66,,13.34,,s,0.0030494589684059346
376,10074.0,296.24005,-14.80796,14.74,,13.94,,13.66,,s,0.0118560786097075
377,20022.0,296.20816,-14.72616,14.09,,13.21,,12.83,,s,0.07860499793270027
378,40397.0,296.24301,-14.74652,14.1,,13.3,,12.99,,s,0.05666376796507755
