Ra(J2000) deg,Dec(J2000) deg,Types,RUN,DCG,imag,e_imag,J,eJ,H,eH,Ks,eKs,IRAC1,e_IRAC1,IRAC2,e_IRAC2,IRAC3,e_IRAC3,IRAC4,e_IRAC4,WISE1,e_WISE1,WISE2,e_WISE2,WISE3,e_WISE3,WISE4,e_WISE4,VmagLGGS,e_VmagLGGS,BmagLGGS,RmagLGSS,ImagLGSS,Flux_imag,Flambda_imag,err_Flambda_imag,lambda_imag,err_lambda_imag,err_Flambda_prime_imag,Flux_J,Flambda_J,err_Flambda_J,lambda_J,err_lambda_J,err_Flambda_prime_J,Flux_H,Flambda_H,err_Flambda_H,lambda_H,err_lambda_H,err_Flambda_prime_H,Flux_Ks,Flambda_Ks,err_Flambda_Ks,lambda_Ks,err_lambda_Ks,err_Flambda_prime_Ks,Flux_IRAC1,Flambda_IRAC1,err_Flambda_IRAC1,lambda_IRAC1,err_lambda_IRAC1,err_Flambda_prime_IRAC1,Flux_IRAC2,Flambda_IRAC2,err_Flambda_IRAC2,lambda_IRAC2,err_lambda_IRAC2,err_Flambda_prime_IRAC2,Flux_IRAC3,Flambda_IRAC3,err_Flambda_IRAC3,lambda_IRAC3,err_lambda_IRAC3,err_Flambda_prime_IRAC3,Flux_IRAC4,Flambda_IRAC4,err_Flambda_IRAC4,lambda_IRAC4,err_lambda_IRAC4,err_Flambda_prime_IRAC4,Flux_WISE1,Flambda_WISE1,err_Flambda_WISE1,lambda_WISE1,err_lambda_WISE1,err_Flambda_prime_WISE1,Flux_WISE2,Flambda_WISE2,err_Flambda_WISE2,lambda_WISE2,err_lambda_WISE2,err_Flambda_prime_WISE2,Flux_WISE3,Flambda_WISE3,err_Flambda_WISE3,lambda_WISE3,err_lambda_WISE3,err_Flambda_prime_WISE3,Flux_WISE4,Flambda_WISE4,err_Flambda_WISE4,lambda_WISE4,err_lambda_WISE4,err_Flambda_prime_WISE4,f_scale_c,f_scale_o,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.23651,-14.79789,C,C,0.007527848,19.719,0.016,17.05,89.99,16.52,89.99,16.15,89.99,15.82,0.05,15.79,0.04,15.53,0.06,14.66,0.11,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,4.93E-05,1.97E-16,3.42E-17,0.75,0.12533,0.069485561,0.000241262,5.79E-16,89.99,1.25,0.214914,89.99,0.000282033,5.10E-16,89.99,1.66,0.260965,89.99,0.000231169,3.17E-16,89.99,2.19,0.278455,89.99,0.000131993,1.10E-16,2.49E-17,3.6,0.743171,0.088645028,8.68E-05,5.79E-17,1.39E-17,4.5,1.009682,0.093552576,7.06E-05,3.65E-17,9.63E-18,5.8,1.391189,0.101699028,8.88E-05,3.33E-17,1.32E-17,8,2.831177,0.145475212,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,6.50E-16,89.99,0.9,0.2124,1.630797361,9.133202,1358945375,5.404840781,254004.1319
296.22876,-14.79337,LPV,C/O,0.008392115,21.033,0.02,18.55,89.99,17.25,89.99,15.2558,89.99,14.19,0.05,13.55,0.04,13.13,0.05,12.66,0.04,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,22.307,0.128,23.912,21.545,20.521,1.47E-05,5.88E-17,1.03E-17,0.75,0.12533,0.07007729,6.06E-05,1.45E-16,89.99,1.25,0.214914,89.99,0.000143979,2.60E-16,89.99,1.66,0.260965,89.99,0.000301947,4.14E-16,89.99,2.19,0.278455,89.99,0.000592314,4.94E-16,1.12E-16,3.6,0.743171,0.088645028,0.0006832,4.55E-16,1.09E-16,4.5,1.009682,0.093552576,0.000643721,3.33E-16,8.65E-17,5.8,1.391189,0.100322347,0.000560073,2.10E-16,7.77E-17,8,2.831177,0.136687954,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,8.40E-16,2.50E-15,1.1,0.334246,2.158966979,8.81091933,647022420.5,5.434677864,272068.2504
296.22696,-14.80191,RSG,C/O,0.003049459,16.393,0.006,14.28,89.99,13.66,89.99,13.27,89.99,13.3,0.06,13.09,0.05,12.76,0.03,12.48,0.04,12.951,0.032,12.921,0.036,11.7,89.99,8.647,89.99,18.559,0.003,20.561,17.347,16.098,0.001055797,4.22E-15,7.16E-16,0.75,0.12533,0.068002702,0.003093772,7.43E-15,89.99,1.25,0.214914,89.99,0.003929162,7.10E-15,89.99,1.66,0.260965,89.99,0.003280428,4.49E-15,89.99,2.19,0.278455,89.99,0.001344472,1.12E-15,2.58E-16,3.6,0.743171,0.090059166,0.001043634,6.96E-16,1.70E-16,4.5,1.009682,0.094950851,0.000905103,4.68E-16,1.18E-16,5.8,1.391189,0.097555823,0.000661066,2.48E-16,9.17E-17,8,2.831177,0.136687954,0.002043228,1.82E-15,3.67E-16,3.368,0.635793,0.079750755,0.001165709,7.57E-16,1.92E-16,4.618,1.107319,0.098360993,0.000661764,1.64E-16,89.99,12.082,6.275804,89.99,0.002907784,3.93E-16,89.99,22.194,4.739734,89.99,8.82E-15,1.05E-14,1.01,1.15376,14.24819991,7.18010752,15139360.13,2.550557725,355.2693369
296.24301,-14.74652,RSG,C/O,0.056663768,16.311,0.008,13.9,89.99,13.3,89.99,12.92,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,12.527,0.025,12.403,0.024,11.142,0.168,8.192,89.99,17.891,0.004,20.002,16.712,15.562,0.001138625,4.55E-15,7.76E-16,0.75,0.12533,0.068299679,0.004390241,1.05E-14,89.99,1.25,0.214914,89.99,0.005473939,9.89E-15,89.99,1.66,0.260965,89.99,0.004528251,6.20E-15,89.99,2.19,0.278455,89.99,89.99,89.99,89.99,3.6,0.743171,89.99,89.99,89.99,89.99,4.5,1.009682,89.99,89.99,89.99,89.99,5.8,1.391189,89.99,89.99,89.99,89.99,8,2.831177,89.99,0.003019373,2.69E-15,5.35E-16,3.368,0.635793,0.078737548,0.00187841,1.22E-15,3.04E-16,4.618,1.107319,0.096695676,0.001106376,2.75E-16,1.61E-16,12.082,6.275804,0.200476811,0.004421423,5.98E-16,89.99,22.194,4.739734,89.99,1.00E-14,1.60E-14,0.98,1.22884,16.93713698,7.08640768,12201344.24,3.070353624,1175.854603
296.219086,-14.802538,C,C,0.010948462,19.993,0.038,17.109,89.99,16.477,89.99,15.8917,89.99,15.66,0.06,15.65,0.07,15.33,0.08,14.93,0.07,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,3.83E-05,1.53E-16,2.80E-17,0.75,0.12533,0.072730138,0.000228501,5.48E-16,89.99,1.25,0.214914,89.99,0.000293427,5.30E-16,89.99,1.66,0.260965,89.99,0.000284663,3.90E-16,89.99,2.19,0.278455,89.99,0.000152951,1.27E-16,2.94E-17,3.6,0.743171,0.090059166,9.88E-05,6.58E-17,1.66E-17,4.5,1.009682,0.097733966,8.49E-05,4.39E-17,1.19E-17,5.8,1.391189,0.104439368,6.92E-05,2.60E-17,9.91E-18,8,2.831177,0.140475713,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,6.90E-16,89.99,1.1,0.2506284,1.780854344,9.032087882,1076683065,5.454413284,284716.9246
296.24578,-14.7865,C,C,0.021889205,89.99,89.99,17.38,89.99,16.73,89.99,16.39,89.99,16.05,0.05,16.19,0.03,16.64,0.23,15.9,0.11,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,21.616,0.021,23.343,20.388,19.307,89.99,89.99,89.99,0.75,0.12533,89.99,0.000178028,4.27E-16,89.99,1.25,0.214914,89.99,0.000232434,4.20E-16,89.99,1.66,0.260965,89.99,0.000185323,2.54E-16,89.99,2.19,0.278455,89.99,0.000106795,8.90E-17,2.02E-17,3.6,0.743171,0.088645028,6.01E-05,4.00E-17,9.46E-18,4.5,1.009682,0.092149786,2.54E-05,1.31E-17,4.36E-18,5.8,1.391189,0.124458632,2.83E-05,1.06E-17,4.23E-18,8,2.831177,0.145475212,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,4.40E-16,89.99,0.99,0.16568,1.464468383,9.2567764,1806243927,5.280775742,190886.7315
296.244385,-14.810474,C,C,0.016865309,19.436,0.016,16.672,89.99,15.96,89.99,15.34292,89.99,15.01,0.05,15.1,0.04,15.04,0.05,14.51,0.06,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,6.40E-05,2.56E-16,4.44E-17,0.75,0.12533,0.069485561,0.000341734,8.20E-16,89.99,1.25,0.214914,89.99,0.000472389,8.54E-16,89.99,1.66,0.260965,89.99,0.000458702,6.28E-16,89.99,2.19,0.278455,89.99,0.000278325,2.32E-16,5.25E-17,3.6,0.743171,0.088645028,0.000163888,1.09E-16,2.63E-17,4.5,1.009682,0.093552576,0.00011084,5.73E-17,1.49E-17,5.8,1.391189,0.100322347,0.000101917,3.82E-17,1.44E-17,8,2.831177,0.139216794,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,9.20E-16,89.99,1.1,0.32777704,2.127046773,8.828029729,673022725.8,5.440385791,275667.6415
296.251434,-14.798083,C,C,0.021732071,20.177,0.044,17.425,89.99,16.616,89.99,15.85994,89.99,15.54,0.05,15.68,0.05,15.31,0.06,14.57,0.08,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,3.24E-05,1.29E-16,2.39E-17,0.75,0.12533,0.073610832,0.0001708,4.10E-16,89.99,1.25,0.214914,89.99,0.000258167,4.67E-16,89.99,1.66,0.260965,89.99,0.000268368,3.68E-16,89.99,2.19,0.278455,89.99,0.000170825,1.42E-16,3.22E-17,3.6,0.743171,0.088645028,9.61E-05,6.40E-17,1.56E-17,4.5,1.009682,0.094950851,8.64E-05,4.47E-17,1.18E-17,5.8,1.391189,0.101699028,9.64E-05,3.62E-17,1.40E-17,8,2.831177,0.141730994,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,5.20E-16,89.99,1.1,0.25532888,1.80023367,9.019655112,1046297319,5.457499643,286747.502
296.229034,-14.781347,89.99,C,0.020345945,89.99,89.99,17.41,89.99,16.51,89.99,15.7028,89.99,15.34,0.07,15.52,0.05,15.2,0.03,14.99,0.05,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,0.75,0.12533,89.99,0.000173176,4.16E-16,89.99,1.25,0.214914,89.99,0.000284643,5.14E-16,89.99,1.66,0.260965,89.99,0.000299179,4.10E-16,89.99,2.19,0.278455,89.99,0.000205377,1.71E-16,4.01E-17,3.6,0.743171,0.091468715,0.000111314,7.42E-17,1.81E-17,4.5,1.009682,0.094950851,9.57E-05,4.95E-17,1.25E-17,5.8,1.391189,0.097555823,6.55E-05,2.46E-17,9.18E-18,8,2.831177,0.137954215,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,7.00E-16,89.99,1.1,0.2781136,1.897202114,8.959389528,910729759.4,5.464103793,291141.2839
296.244141,-14.813117,C,C,0.018193452,20.198,0.012,17.12,89.99,16.187,89.99,14.99742,89.99,14.65,0.07,14.79,0.06,14.84,0.05,14.33,0.05,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,3.17E-05,1.27E-16,2.18E-17,0.75,0.12533,0.068893025,0.000226198,5.43E-16,89.99,1.25,0.214914,89.99,0.000383266,6.93E-16,89.99,1.66,0.260965,89.99,0.000515621,7.06E-16,89.99,2.19,0.278455,89.99,0.00038775,3.23E-16,7.58E-17,3.6,0.743171,0.091468715,0.000218046,1.45E-16,3.61E-17,4.5,1.009682,0.096344638,0.000133259,6.89E-17,1.79E-17,5.8,1.391189,0.100322347,0.000120294,4.51E-17,1.69E-17,8,2.831177,0.137954215,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,8.40E-16,89.99,1.1,0.3678354,2.332573836,8.722075367,527321364.3,5.40124115,251907.5302
